Article Title ,Author(s),Contact Info.,Year Published,Institution ,# of publications used,Olivia (Article Link),Qual. Score method,QualSyst number
,,,,,,"Article title: How common is natural conception in women who have had a livebirth via assisted reproductive technology? Systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1093/humrep/dead121""",,
,,,,,,"Article title: The feasibility of ultrasonography for the measurement of periodontal and peri-implant phenotype: A systematic review and meta-analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1111/cid.13231""",,
,,,,,,"Article title: Acupuncture for protracted opioid abstinence syndrome: study protocol for a systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/bmjopen-2023-071864""",,
,,,,,,"Article title: Does robotic-assisted surgery improve outcomes of total hip arthroplasty compared to manual technique? A systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/postgradmedj-2021-141135""",,
,,,,,,"Article title: Automated feedback and writing: a multi-level meta-analysis of effects on students' performance.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/frai.2023.1162454""",,
,,,,,,"Article title: Incidence of delirium after non-cardiac surgery in the Chinese elderly population: a systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fnagi.2023.1188967""",,
,,,,,,"Article title: Effect of preoperative inspiratory muscle training on postoperative outcomes in patients undergoing cardiac surgery: A systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.12998/wjcc.v11.i13.2981""",,
,,,,,,"Article title: Comparison of ocular surface assessment outcomes between healthy controls and patients with obstructive sleep apnea-hypopnea syndrome: a meta-analysis of the literature.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fphys.2023.1163947""",,
,,,,,,"Article title: The comparison of interrupted and continuous suturing technique in Snodgrass urethroplasty in patients with primary hypospadias: A systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.4103/ua.ua_100_22""",,
,,,,,,,,
,,,,,,Kritika,,
,,,,,,"Article title: Survival Trends in Sorafenib for Advanced Hepatocellular Carcinoma: A Reconstructed Individual Patient Data Meta-Analysis of Randomized Trials.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1159/000529824""",,
,,,,,,"Article title: Prevalence of long-term right ventricular dysfunction after acute pulmonary embolism: a systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.eclinm.2023.102153""",,
,,,,,,"Article title: Scabies as a Neglected Tropical Disease in Iran: A Systematic Review with Meta-Analysis, during 2000-2022. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.18502/jad.v16i3.12034""",,
,,,,,,"Article title: The impact of gum-chewing on postoperative ileus following gynecological cancer surgery: A systematic review and meta-analysis of randomized controlled trials.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fonc.2022.1059924""",,
,,,,,,"Article title: Effects of sevoflurane and propofol on postoperative nausea and vomiting in patients with colorectal cancer placed under general anesthesia: a systematic review and meta-analysis.: ""https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/37720437""",,
,,,,,,"Article title: Effectiveness of 3D-printed models prepared from radiological data for anatomy education: A meta-analysis and trial sequential analysis of 22 randomized, controlled, crossover trials.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.4103/jehp.jehp_199_22""",,
,,,,,,"Article title: Efficacy of Different Dosing Regimens of IgE Targeted Biologic Omalizumab for Chronic Spontaneous Urticaria in Adult and Pediatric Populations: A Meta-Analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3390/healthcare10122579""",,
,,,,,,"Article title: The efficacy of tranexamic acid treatment with different time and doses for traumatic brain injury: a systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s12959-022-00440-9""",,
,,,,,,"Article title: Clinical efficacy and safety of 3D vascular reconstruction combined with 3D navigation in laparoscopic hepatectomy: systematic review and meta-analysis.: ""https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/36915427""",,
,,,,,,"Article title: A systematic review and meta-analysis of circulating cell-free DNA as a diagnostic biomarker for non-small cell lung cancer.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.21037/jtd-22-646""",,
,,,,,,"Article title: Selective Hepatic Vascular Exclusion versus Pringle Maneuver in Major Hepatectomy: A Systematic Review and Meta-Analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fsurg.2022.860721""",,
,,,,,,"Article title: Efficacy and Safety of Mesenchymal Stem Cell Transplantation in the Treatment of Autoimmune Diseases (Rheumatoid Arthritis, Systemic Lupus Erythematosus, Inflammatory Bowel Disease, Multiple Sclerosis, and Ankylosing Spondylitis): A Systematic Review and Meta-Analysis of Randomized Controlled Trial.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1155/2022/9463314""",,
,,,,,,"Article title: Comparative systematic review and meta-analysis of the therapeutic effects of coblation tonsillectomy versus electrocautery tonsillectomy.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.21037/gs-21-832""",,
,,,,,,"Article title: Comparison of Outcomes of Enucleation vs. Standard Surgical Resection for Pancreatic Neoplasms: A Systematic Review and Meta-Analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fsurg.2021.744316""",,
,,,,,,"Article title: Clinical Efficacy and Safety of Shashen Maidong Decoction in the Treatment of Pediatric Mycoplasma Pneumonia: A Systematic Review and Meta-Analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.3389/fphar.2021.765656""",,
,,,,,,"Article title: Real-time audio-visual feedback with handheld nonautomated external defibrillator devices during cardiopulmonary resuscitation for in-hospital cardiac arrest: A meta-analysis. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.4103/IJCIIS.IJCIIS_155_20""",,
,,,,,,"Article title: Racial disparities in nonalcoholic fatty liver disease clinical trial enrollment: A systematic review and meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.4254/wjh.v12.i8.506""",,
,,,,,,"Article title: Use of artificial intelligence for cancer clinical trial enrollment: a systematic review and meta-analysis.: ""https://www-ncbi-nlm-nih-gov.myaccess.library.utoronto.ca/pubmed/37934140""",,
,,,,,,"Article title: Iron metabolism-related indicators as predictors of the incidence of acute kidney injury after cardiac surgery: a meta-analysis.: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1080/0886022X.2023.2201362""",,
,,,,,,"Article title: Cervical cerclage for short cervix at 24 to 26 weeks of gestation: systematic review and meta-analysis of randomized controlled trials using individual patient-level data. [Review]: ""https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ajogmf.2023.100930""",,
,,,,,,,,
,,,,,,Caroleen,,
"Offspring physiology following the use of IVM, IVF and ICSI: a systematic review and meta-analysis of animal studies","Kiri H Beilby, Ezra Kneebone, Tessa J Roseboom, Indah M van Marrewijk, Jeremy G Thompson, Robert J Norman, Rebecca L Robker, Ben Willem J Mol, Rui Wang",kiri.beilby@monash.edu,2023,"Department of Obstetrics and Gynaecology, Monash University, , Melbourne, Australia. Correspondence address. Department of Obstetrics and Gynaecology, Monash University, Level 5, Monash Medical Centre, 246 Clayton Road, Clayton, VIC 3168, Australia.",61,https://dx-doi-org.myaccess.library.utoronto.ca/10.1093/humupd/dmac043 ,SYRCLE risk of bias too,
Demographic recruitment bias of adults in United States randomized clinical trials by disease categories between 2008 to 2019: a systematic review and meta-analysis.,"Ilana Buffenstein, Bree Kaneakua, Emily Taylor, Masako Matsunaga, So Yung Choi, Enrique Carrazana, Jason Viereck, Kore Kai Liow & Arash Ghaffari-Rafi ",arashgr@hawaii.edu,2023,"John A. Burns School of Medicine, University of Hawaiʻi at Mānoa, 651 Ilalo Street, Honolulu, HI, 96813, USA. Department of Neurological Surgery, School of Medicine, University of California, Davis, 4301 X St., Sacramento, CA, 95817, USA",2977, https://dx-doi-org.myaccess.library.utoronto.ca/10.1038/s41598-022-23664-1 ,"Cochrane, PRISMA",
Role of Hemodialysis in Acute Severe Alcohol Intoxication: A Meta-Analysis,Siyao Zeng; Lei Ma;Lishan Yang;Xiaodong Hu;Cheng Wang;Xinxin Guo;Yi Li;Yi Gou,"357893553@qq.com, 13895306161@163.com  ",2023,"Department of Emergency Medicine, General Hospital of Ningxia Medical University, Yinchuan, China. School of Clinical Medicine, Ningxia Medical University, Yinchuan, China",13,https://dx-doi-org.myaccess.library.utoronto.ca/10.1159/000527622 ,Cochrane,
Endoscopy-assisted versus open tissue expander placement in plastic and reconstructive surgery: a meta-analysis,"Chen Dong, Liwei Dong, Zhou Yu, Xianjie Ma",uyz20080512@163.com; mamajing@fmmu.edu.cn,2023,"Department of Plastic Surgery, Xijing Hospital, Fourth Military MedicalUniversity, 127 Changle Road, Xi’an, Shaanxi 710032, People’s Republic of China",7,https://dx-doi-org.myaccess.library.utoronto.ca/10.1080/2000656X.2022.2032106,RoB 2.0,
Level of sedation in critically ill adult patients: a protocol for a systematic review with meta-analysis and trial sequential analysis,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1136/bmjopen-2022-061806 ,,
The Relationship Between Physical Activity and Mobile Phone Addiction Among Adolescents and Young Adults: Systematic Review and Meta-analysis of Observational Studies. [Review],,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.2196/41606 ,,
Effects of epidural anesthesia in pheochromocytoma and paraganglioma surgeries: A protocol for systematic review and meta-analysis.,,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1097/MD.0000000000031768 ,,
"Traditional Chinese medicine combined with Moxibustion in the treatment of long-COVID"": A protocol for systematic review and meta-analysis.",,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1097/MD.0000000000031447 ,,
Placebo Response to Oral Administration in Osteoarthritis Clinical Trials and Its Associated Factors: A Model-Based Meta-analysis.: ,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1001/jamanetworkopen.2022.35060 ,,
Is low-level laser therapy effective in the treatment of herpes labialis? Systematic review and meta-analysis. [Review],,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1007/s10103-022-03653-6 ,,
Meta-Analysis of Efficacy and Safety of Karelizumab Combined with Apatinib in the Treatment of Advanced Gastric Cancer. [Review],,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1155/2022/6971717 ,,
The effects of early exercise on cardiac rehabilitation-related outcome in acute heart failure patients: A systematic review and meta-analysis. [Review],,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ijnurstu.2022.104237 ,,
Pathologically diagnosed placenta accreta spectrum without placenta previa: a systematic review and meta-analysis. [Review],,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ajogmf.2023.101027 ,,
Cervical cerclage for short cervix at 24 to 26 weeks of gestation: systematic review and meta-analysis of randomized controlled trials using individual patient-level data. [Review],,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ajogmf.2023.100930 ,,
The effect of exposure to long working hours on depression: A systematic review and meta-analysis from the WHO/ILO Joint Estimates of the Work-related Burden of Disease and Injury.,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.envint.2021.106629 ,,
Correlating Spatial Ability With Anatomy Assessment Performance: A Meta-Analysis.,,,,,, https://dx-doi-org.myaccess.library.utoronto.ca/10.1002/ase.2029 ,,
Effects of early mobilization on the prognosis of critically ill patients: A systematic review and meta-analysis. [Review],,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ijnurstu.2020.103708 ,,
Meta-analysis of intracavitary electrocardiogram guidance for peripherally inserted central catheter placement.,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1177/1129729819826028 ,,
A meta-analysis of the impacts of genetically modified crops. [Review],,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1371/journal.pone.0111629 ,,
The effectiveness of computerized drug-lab alerts: a systematic review and meta-analysis. [Review] ,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.ijmedinf.2014.03.003 ,,
